timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
2902357834,-0.066655405,-0.034184087,0.67603815,4496,0,-0.8844078,0.9246219,-10.820693,4879,0
2902363830,0.03320791,0.022580354,0.596696,5996,0,2.227445,-3.5186803,-8.1441965,5002,0
2902368327,0.009072527,0.047378104,0.5795701,4497,0,-1.9440205,-0.30952725,-11.8697605,5103,0
2902372825,0.04964114,-0.057396907,0.614241,4498,0,-1.0450888,2.2831137,-9.452021,4896,0
2902378819,-0.08395904,-0.0010364286,0.6018029,5994,0,2.9477062,0.71556795,-9.212076,5002,0
2902383316,-0.01864634,0.027628595,0.5822703,4497,0,0.95245886,0.5732806,-9.700885,5100,0
2902395307,0.055485453,0.017236162,0.53570163,7494,0,0.1647596,1.0556049,-11.11612,6249,0
2902399804,-0.05545994,0.0010933132,0.5358014,4497,0,-1.5356725,0.38396475,-11.264232,5000,0
2902410296,-2.3983781e-05,0.0002594913,0.4742038,5949,0,0.8547883,-2.5261672,-9.755832,5001,0
2902414793,0.0005115282,0.07011998,0.4564847,4497,0,-1.9701103,-1.9817559,-8.580561,4997,0
2902425286,-0.10785609,0.014522474,0.42454696,5950,0,-1.936657,-0.007775347,-10.794764,5000,0
2902429782,-0.029844033,0.05165874,0.40355578,4496,0,2.1797352,3.7121449,-8.98728,5000,0
2902440274,-0.009391105,0.062798016,0.34760517,5948,0,-1.373001,-0.035060782,-10.193934,6248,0
2902449315,-0.030577129,0.041223582,0.36781022,9041,0,-0.7294293,0.17802905,-10.255096,7433,0
2902453765,-0.13513768,0.035767537,0.320726,4450,0,2.2618947,2.0054066,-9.578691,5025,0
2902458262,-0.034195073,0.016009662,0.295012,4497,0,0.85774946,-2.1481352,-9.352857,5069,0
2902462758,-0.03898506,0.06213908,0.26945242,4496,0,0.0059028184,-2.1588376,-11.067191,4906,0
2902468754,-0.026516462,-0.003797837,0.2831967,5996,0,-0.4752063,2.589607,-10.019603,4999,0
2902473251,-0.09875808,0.006253701,0.29974762,4497,0,-1.0224595,1.4536062,-9.798059,5060,0
2902477747,-0.1789073,0.037285406,0.25034204,4496,0,1.0027593,-1.0226693,-12.35347,4957,0
2902483743,-0.06547115,-0.0026809254,0.20421058,5996,0,1.0496016,-1.4414821,-7.119857,4984,0
2902488249,-0.024561804,0.0030388383,0.18297674,4506,0,-0.7236949,-1.9158105,-9.267935,5068,0
2902498732,-0.15323544,-0.00055352575,0.19286247,5996,0,1.3348503,1.4623613,-9.421987,5621,0
2902503229,-0.110077575,0.026988588,0.17131943,4497,0,-2.0374029,-0.85257703,-12.541032,4410,0
2902513721,-0.087722965,-0.010160631,0.10507485,5996,0,2.016093,1.5802697,-9.445903,5001,0
2902518218,-0.048770975,-0.03270853,0.1351543,4497,0,0.80362403,1.3530511,-8.559626,5001,0
2902522715,-0.24019249,0.010831292,0.11210653,4497,0,-0.32865378,-0.6135875,-9.7637005,4998,0
2902528710,-0.02600033,-0.02600937,0.06266398,5995,0,0.66180617,0.8166477,-8.758565,5026,0
2902533210,-0.085478395,-0.053336386,0.016664818,4500,0,-2.8484535,-3.8496006,-13.297981,5022,0
2902543699,-0.114217274,-0.08243275,0.0389488,5995,0,0.42359594,-0.27541286,-9.6341505,6265,0
2902552693,-0.03819426,-0.048070945,-0.012666051,8994,0,1.3260918,-0.83214504,-10.20488,7522,0
2902557190,-0.049183965,-0.008924914,-0.028976154,4497,0,-1.0104699,0.42606294,-10.825038,4964,0
2902561733,0.060238954,-0.03588913,0.012635433,4543,0,-2.3596256,2.6521473,-8.590516,4999,0
2902567682,-0.18430236,-0.030314246,-0.02399128,5949,0,-0.99855125,-2.2623262,-11.3561125,5031,0
2902572180,0.041580573,-0.09062318,-0.06536006,4498,0,4.3182764,2.2425115,-9.4253025,4968,0
2902582671,-0.011494226,-0.073467,-0.054163206,5949,0,-1.6993601,2.587632,-10.263942,4998,0
